0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,31,31,31,31,31,31,31,31,31,31,31,31,22,23,31,31,31,31,31,31,31,31,31,31,31,31,46
28,0,0,0,0,0,0,0,0,0,0,0,0,72,24,0,0,0,0,0,0,0,0,0,0,0,0,47
28,0,71,3,3,3,66,0,71,3,3,66,0,72,24,0,71,3,3,66,0,71,3,3,3,66,0,47
28,0,69,74,74,74,67,0,69,74,74,67,0,72,24,0,69,74,74,67,0,69,74,74,74,67,0,47
28,0,0,0,0,0,0,0,0,0,0,0,0,69,67,0,0,0,0,0,0,0,0,0,0,0,0,47
28,0,71,3,3,3,66,0,71,3,3,66,0,0,0,0,71,3,3,66,0,71,3,3,3,66,0,47
28,0,69,74,74,74,67,0,69,74,74,67,0,71,66,0,69,74,74,67,0,69,74,74,74,67,0,47
28,0,0,0,0,0,0,0,0,0,0,0,0,72,24,0,0,0,0,0,0,0,0,0,0,0,0,47
28,0,71,3,3,66,0,71,66,0,71,3,3,12,13,3,3,66,0,71,66,0,71,3,3,66,0,47
28,0,72,73,73,24,0,72,24,0,72,73,73,73,73,73,73,24,0,72,24,0,72,73,73,24,0,47
67,0,69,74,74,67,0,69,67,0,69,74,74,74,74,74,74,67,0,69,67,0,69,74,74,67,0,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,3,66,0,71,3,66,0,6,26,26,253,253,26,26,27,0,71,3,66,0,71,3,3,3,3
4,74,74,74,67,0,69,74,67,0,47,0,0,0,0,0,0,28,0,69,74,67,0,69,74,74,74,75
28,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,47
28,0,71,3,3,66,0,71,66,0,47,0,0,0,0,0,0,28,0,71,66,0,71,3,3,66,0,47
28,0,72,73,73,24,0,72,24,0,30,31,31,31,31,31,31,32,0,72,24,0,72,73,73,24,0,47
28,0,72,73,73,24,0,72,24,0,0,0,0,0,0,0,0,0,0,72,24,0,72,73,73,24,0,47
28,0,72,73,73,24,0,72,24,0,71,3,3,3,3,3,3,66,0,72,24,0,72,73,73,24,0,47
67,0,69,74,74,67,0,69,67,0,69,74,74,74,74,74,74,67,0,69,67,0,69,74,74,67,0,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,3,3,3,66,0,71,66,0,71,3,3,3,3,66,0,71,66,0,71,3,3,3,3,3,3
4,74,74,74,74,74,67,0,72,24,0,69,74,74,74,74,67,0,72,24,0,69,74,74,74,74,74,75
28,0,0,0,0,0,0,0,69,67,0,0,0,0,0,0,0,0,69,67,0,0,0,0,0,0,0,47
28,0,71,66,0,71,66,0,0,0,0,71,3,3,3,3,66,0,0,0,0,71,66,0,71,66,0,47
28,0,72,24,0,72,24,0,71,66,0,69,74,74,74,74,67,0,71,66,0,72,24,0,72,24,0,47
28,0,72,24,0,72,24,0,72,24,0,0,0,0,0,0,0,0,72,24,0,72,24,0,72,24,0,47
28,0,72,24,0,72,24,0,72,13,3,66,0,71,66,0,71,3,12,24,0,72,24,0,72,24,0,47
28,0,69,67,0,69,67,0,69,74,74,67,0,72,24,0,69,74,74,67,0,69,67,0,69,67,0,47
28,0,0,0,0,0,0,0,0,0,0,0,0,72,24,0,0,0,0,0,0,0,0,0,0,0,0,47
44,26,26,26,26,26,26,26,26,26,26,26,26,12,13,26,26,26,26,26,26,26,26,26,26,26,26,48
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
